entry,offset,encoding,score,string,neighbors_before,neighbors_after
paperweb/bin/Mvcbll.dll,329865,ascii,8,set_Pagepdf,get_E_pingLists | set_Pageid | set_Pagetitle | set_Pagepic,set_Pagelink | set_Ismany | System.Text.RegularExpressions | Regex
paperweb/bin/Mvcbll.dll,330076,ascii,8,get_Pagepic,get_Qipic | get_Zoompic | get_Pagemap | get_Pagetitle,get_IsMobileWeb | get_Pwidth | get_Ismany | get_Pagepdf
paperweb/bin/Mvcbll.dll,330126,ascii,8,get_Pagepdf,get_Pagepic | get_IsMobileWeb | get_Pwidth | get_Ismany,get_Ismobile | set_Ip1 | set_Ip2 | set_Isusing
paperweb/bin/Mvcbll.dll,337705,ascii,8,pagepic,showreply | pageid | numberid | pagetitle,pagepdf | litpic | zoompic | isurl
paperweb/bin/Mvcbll.dll,337713,ascii,8,pagepdf,pageid | numberid | pagetitle | pagepic,litpic | zoompic | isurl | pdfurl
paperweb/bin/Mvcbll.dll,337961,ascii,8,Pagepic,Editionlist | EditionlistAddnews | EditionlistAddnews_PCBAO | view_edition,Geteditions | each_edition | each_edition2 | qi_edition
paperweb/bin/Mvcbll.dll,338115,ascii,8,pagepic2,Threeedition | e_eacheditions | Lastqiedition | PagemapWebd,Pagemaphttp2 | Pagemap | EditionNext | Pagenames
paperweb/bin/Mvcbll.pdb,288688,ascii,8,pagepic,Deledition | CS$0$0000 | flag | isnews,pagepdf | litpic | zoompic | parameters
paperweb/bin/Mvcbll.pdb,288716,ascii,8,pagepdf,CS$0$0000 | flag | isnews | pagepic,litpic | zoompic | parameters | Isedition
paperweb/bin/Mvcbll.pdb,291020,ascii,8,pagepic,numberid | pagetitle | link | pagename,pagepdf | isurl | ismany | editionlist
paperweb/bin/Mvcbll.pdb,291048,ascii,8,pagepdf,pagetitle | link | pagename | pagepic,isurl | ismany | editionlist | parameters
paperweb/bin/Mvcbll.pdb,291856,ascii,8,pagepic,numberid | pagetitle | link | pagename,pagemap | pagepdf | zoompic | isurl
paperweb/bin/Mvcbll.pdb,291912,ascii,8,pagepdf,link | pagename | pagepic | pagemap,zoompic | isurl | ismany | paperweburl
paperweb/bin/Mvcbll.pdb,292436,ascii,8,pagepic2,usemap_name | img_name | edtemp | eachedition,newslist | EditionlistAddnews_PCBAO | CS$0$0000 | CS$0$0001
paperweb/bin/Mvcbll.pdb,293520,ascii,8,pagepic2,usemap_name | img_name | edtemp | eachedition,newslist | view_edition | CS$0$0000 | CS$0$0001
paperweb/bin/Mvcbll.pdb,294168,ascii,8,pagepic,pageid | numberid | pagename | pagetitle,pagemap | pagepdf | zoompic | prelink
paperweb/bin/Mvcbll.pdb,294224,ascii,8,pagepdf,pagename | pagetitle | pagepic | pagemap,zoompic | prelink | nextlink | isurl
paperweb/bin/Mvcbll.pdb,294689,ascii,8,Pagepic,parameters2 | edition1 | prehref | nexthref,CS$0$0000 | pagepic | parameters | Geteditions
paperweb/bin/Mvcbll.pdb,294776,ascii,8,pagepic,prehref | nexthref | Pagepic | CS$0$0000,parameters | Geteditions | CS$0$0000 | editions
paperweb/bin/Mvcbll.pdb,295176,ascii,8,pagepic,editions | issuedate | editionid | pageid,pagename | pagetitle | parameters | ismany
paperweb/bin/Mvcbll.pdb,296172,ascii,8,pagepic,pageid | editionid | numberid | pagetitle,pagemap | pagepdf | zoompic | prelink
paperweb/bin/Mvcbll.pdb,296228,ascii,8,pagepdf,numberid | pagetitle | pagepic | pagemap,zoompic | prelink | nextlink | ismany
paperweb/bin/Mvcbll.pdb,297728,ascii,8,pagepic,numberid | pageid | pagename | pagetitle,pagemap | pagepdf | zoompic | prelink
paperweb/bin/Mvcbll.pdb,300040,ascii,8,pagepic,numberid | pageid | pagename | pagetitle,pagemap | pagepdf | isurl | ismany
paperweb/bin/Mvcbll.pdb,300096,ascii,8,pagepdf,pagename | pagetitle | pagepic | pagemap,isurl | ismany | scopeople | average
paperweb/bin/Mvcbll.pdb,300828,ascii,8,pagepic,qiid | issuedate | pageid | qipic,pagetitle | temp | edition | parameters
paperweb/bin/Mvcbll.pdb,301540,ascii,8,pagepic,qiid | issuedate | pageid | qipic,pagetitle | orderfield | parameters | edition
paperweb/bin/Mvcbll.pdb,302068,ascii,8,pagepic,CS$0$0001 | CS$0$0002 | CS$0$0003 | CS$0$0004,pagepdf | zoompic | pagemap | pagetitle
paperweb/bin/Mvcbll.pdb,302096,ascii,8,pagepdf,CS$0$0002 | CS$0$0003 | CS$0$0004 | pagepic,zoompic | pagemap | pagetitle | paperweburl
paperweb/bin/Mvcbll.pdb,302772,ascii,8,pagepic,CS$0$0003 | CS$0$0004 | CS$0$0005 | CS$0$0006,pagepdf | zoompic | pagemap | pagetitle
paperweb/bin/Mvcbll.pdb,302800,ascii,8,pagepdf,CS$0$0004 | CS$0$0005 | CS$0$0006 | pagepic,zoompic | pagemap | pagetitle | paperweburl
paperweb/bin/Mvcbll.pdb,303564,ascii,8,pagepic,CS$0$0004 | CS$0$0005 | CS$0$0006 | CS$0$0007,pagepdf | pagemap | pagetitle | paperweburl
paperweb/bin/Mvcbll.pdb,303592,ascii,8,pagepdf,CS$0$0005 | CS$0$0006 | CS$0$0007 | pagepic,pagemap | pagetitle | paperweburl | pricetype
paperweb/bin/Mvcbll.pdb,530806,ascii,8,Pagepic,EditionlistAddnews_PCBAO | 06000214 | view_edition | 06000215,06000216 | Geteditions | 06000217 | each_edition
paperweb/bin/Mvcmode.dll,74522,ascii,8,get_Pagepdf,get_Numberid | set_Numberid | get_Pagetitle | set_Pagetitle,set_Pagepdf | get_Pagepic | set_Pagepic | get_Pagemap
paperweb/bin/Mvcmode.dll,74534,ascii,8,set_Pagepdf,set_Numberid | get_Pagetitle | set_Pagetitle | get_Pagepdf,get_Pagepic | set_Pagepic | get_Pagemap | set_Pagemap
paperweb/bin/Mvcmode.dll,74546,ascii,8,get_Pagepic,get_Pagetitle | set_Pagetitle | get_Pagepdf | set_Pagepdf,set_Pagepic | get_Pagemap | set_Pagemap | get_Litpic
paperweb/bin/Mvcmode.dll,74558,ascii,8,set_Pagepic,set_Pagetitle | get_Pagepdf | set_Pagepdf | get_Pagepic,get_Pagemap | set_Pagemap | get_Litpic | set_Litpic
paperweb/bin/Mvcmode.dll,74909,ascii,8,<Pagepdf>k__BackingField,set_Newslist | <Pageid>k__BackingField | <Numberid>k__BackingField | <Pagetitle>k__BackingField,<Pagepic>k__BackingField | <Pagemap>k__BackingField | <Litpic>k__BackingField | <Zoompic>k__BackingField
paperweb/bin/Mvcmode.dll,74934,ascii,8,<Pagepic>k__BackingField,<Pageid>k__BackingField | <Numberid>k__BackingField | <Pagetitle>k__BackingField | <Pagepdf>k__BackingField,<Pagemap>k__BackingField | <Litpic>k__BackingField | <Zoompic>k__BackingField | <Ismany>k__BackingField
paperweb/bin/Mvcmode.dll,75259,ascii,8,Pagepdf,<Newslist>k__BackingField | Pageid | Numberid | Pagetitle,Pagepic | Pagemap | Litpic | Zoompic
paperweb/bin/Mvcmode.dll,75267,ascii,8,Pagepic,Pageid | Numberid | Pagetitle | Pagepdf,Pagemap | Litpic | Zoompic | Ismany
paperweb/bin/Mvcb2b.dll,328818,ascii,6,mobilefilename,bigpageid | pdf2jpg | path2 | pcfilename,pdfname | isjpg | pcdir | System.Runtime.InteropServices
paperweb/bin/Mvcb2b.dll,340294,ascii,6,NewGuid,set_Sex | get_User_state | UpdateDateClear | Guid,get_Context | SetCache_Second | Isnews_qiclassid | Ischildclass
paperweb/bin/Mvcbll.dll,330566,ascii,6,NewGuid,System.Net | WebClient | Exception | Guid,get_PhysicalApplicationPath | DownloadFileAsync | System.ComponentModel | AsyncCompletedEventArgs
paperweb/bin/Mvccom.dll,71594,ascii,6,NewGuid,Exists | HttpPostedFile | get_PostedFile | get_ContentLength,DateTimeFormatInfo | get_InvariantInfo | get_FileName | Path
paperweb/bin/Newtonsoft.Json.dll,307864,ascii,6,NewGuid,IsValid | Invalid | Void | TryConvertGuid,Uuid | UuidOld | BinaryOld | ParseQuotedField
paperweb/bin/PdfCode.dll,17108,ascii,6,NewGuid,Console | WriteLine | get_UTF8 | Guid,OverflowException | CopyTo | BinaryReader | System.Drawing
paperweb/bin/FeiShareLibrary.pdb,86880,ascii,5,saveAsParam,CS$0$0001 | avDoc | pdDoc | jsAcroObj,closeDocParam | PdDocGetText | CS$0$0000 | CS$0$0001
paperweb/bin/FeiShareLibrary.pdb,87988,ascii,5,saveAsParam,SaveToTiff | CS$0$0000 | pdfDoc | jsObj,+1KLf | $14!/ | 3!9!d!= | !5!8!d!;
