seed_id,seed_archive_url,seed_encoding,anchor_text,route_type,original_url,snapshot_timestamp,archive_url,digest,snapshot_source,title,site_date,author,source_text,issue_number,encoding,identity_verified,metadata_excerpt,fetch_error
2009_dec_home,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,她的绰号“智能牛魔王”（897期）,news,http://www.qlsn.com/news_view.asp?id=223,,,,error,她的绰号“智能牛魔王”（897期）,,,,,,,,URLError: <urlopen error timed out>
2009_dec_home,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,“国际儿童墙”上的山东女孩（898期）,news,http://www.qlsn.com/news_view.asp?id=224,,,,error,“国际儿童墙”上的山东女孩（898期）,,,,,,,,URLError: <urlopen error timed out>
2009_dec_home,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,贾雯晶的“特殊任务”（899期）,news,http://www.qlsn.com/news_view.asp?id=225,,,,error,贾雯晶的“特殊任务”（899期）,,,,,,,,URLError: <urlopen error timed out>
2007_jun_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,探源村名文化,news,http://www.qlsn.com/news_view.asp?id=89,,,,error,探源村名文化,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
2007_jun_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,高青县樊林小学,news,http://www.qlsn.com/news_view.asp?id=90,20070625133813,https://web.archive.org/web/20070625133813id_/http://www.qlsn.com/news_view.asp?id=90,HENVWQGMORJ42SSS4ZXNLQY4KEWAIVZM,local_inventory,高青县樊林小学,,,,,,,,
2007_jun_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,沟通让爱的心靠得更近,news,http://www.qlsn.com/news_view.asp?id=91,,,,error,沟通让爱的心靠得更近,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
2007_jun_home,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,gb18030,手拉手 共进步,news,http://www.qlsn.com/news_view.asp?id=92,,,,not_found,手拉手 共进步,,,,,,,,
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,我的队报我作主，选出你最喜爱的报标！,news,http://www.qlsn.com/news_view.asp?id=94,,,,error,我的队报我作主，选出你最喜爱的报标！,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,857087447——专门为齐鲁少年...,news,http://www.qlsn.com/news_view.asp?id=95,,,,error,857087447——专门为齐鲁少年...,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,带颜色的暑假记忆 780期,news,http://www.qlsn.com/news_view.asp?id=97,,,,error,带颜色的暑假记忆 780期,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,离梦想又近了（第780期）,news,http://www.qlsn.com/news_view.asp?id=98,,,,error,离梦想又近了（第780期）,,,,,,,,URLError: <urlopen error timed out>
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,山外来的小老师（第781期）,news,http://www.qlsn.com/news_view.asp?id=99,,,,not_found,山外来的小老师（第781期）,,,,,,,,
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=188,,,,not_found,,,,,,,,,
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=189,,,,error,,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=190,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2007_nov_home,https://web.archive.org/web/20071103154018id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=191,20070625133905,https://web.archive.org/web/20070625133905id_/http://www.qlsn.com/pic_view.asp?id=191,IGJFRL7GAIC3BWFTLDDCIBJYF4KDXHWG,local_inventory,,,,,,,,,
2009_aug_home,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=378,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2009_aug_home,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=380,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2009_aug_home,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=381,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2009_aug_home,https://web.archive.org/web/20090830081307id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=382,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2009_dec_home,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=393,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2009_dec_home,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=394,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2009_dec_home,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=395,,,,error,,,,,,,,,URLError: <urlopen error timed out>
2009_dec_home,https://web.archive.org/web/20091225202932id_/http://www.qlsn.com:80/,gb18030,,pic,http://www.qlsn.com/pic_view.asp?id=396,,,,not_found,,,,,,,,,
