candidate_score,status,host,timestamp,mimetype,original,archive_url,reasons,digest
80,source_known_content_verification_required,202.102.188.131,20011226004728,text/html,http://202.102.188.131/qilushaonian/qilushaoniansiban/default.htm,https://web.archive.org/web/20011226004728id_/http://202.102.188.131/qilushaonian/qilushaoniansiban/default.htm,known_source|electronic_resource_hint|html_page,M64IFAUKVTNYRFFQDTUJ4DFACVBMPF7X
80,source_known_content_verification_required,202.102.188.131,20020327133641,text/html,http://202.102.188.131/qilushaonian/qilushaonianyiban/default.htm,https://web.archive.org/web/20020327133641id_/http://202.102.188.131/qilushaonian/qilushaonianyiban/default.htm,known_source|electronic_resource_hint|html_page,VLXCRXK4FZ7MUPXDOVJBZ65LXVGJCKN5
80,source_known_content_verification_required,www.dzwww.com,20020802022036,text/html,http://www.dzwww.com/qilushaonian/,https://web.archive.org/web/20020802022036id_/http://www.dzwww.com/qilushaonian/,known_source|electronic_resource_hint|html_page,VQDGXIDS4NRNAI332VIDCYBDQC7F2XW6
80,source_known_content_verification_required,www.dzwww.com,20020803091206,text/html,http://www.dzwww.com/qilushaonian/default.htm,https://web.archive.org/web/20020803091206id_/http://www.dzwww.com/qilushaonian/default.htm,known_source|electronic_resource_hint|html_page,VQDGXIDS4NRNAI332VIDCYBDQC7F2XW6
80,source_known_content_verification_required,www.dzwww.com,20021231181048,text/html,http://www.dzwww.com/qilushaonian/qilushaonianerban/default.htm,https://web.archive.org/web/20021231181048id_/http://www.dzwww.com/qilushaonian/qilushaonianerban/default.htm,known_source|electronic_resource_hint|html_page,IMFTEZN5GI4YXTZX62QOI74KHCIJUV4I
80,source_known_content_verification_required,www.dzwww.com,20020810164123,text/html,http://www.dzwww.com/qilushaonian/qilushaoniansanban/default.htm,https://web.archive.org/web/20020810164123id_/http://www.dzwww.com/qilushaonian/qilushaoniansanban/default.htm,known_source|electronic_resource_hint|html_page,D2PZXCKQ2QGDGVRMN4IDKZUAMEY7GSKN
80,source_known_content_verification_required,www.dzwww.com,20030620174232,text/html,http://www.dzwww.com/qilushaonian/qilushaoniansiban/default.htm,https://web.archive.org/web/20030620174232id_/http://www.dzwww.com/qilushaonian/qilushaoniansiban/default.htm,known_source|electronic_resource_hint|html_page,ZPA7CGDYCHAG2JYQQHOK6GY6VJTLQWCH
80,source_known_content_verification_required,www.dzwww.com,20030429184007,text/html,http://www.dzwww.com/qilushaonian/qilushaonianyiban/default.htm,https://web.archive.org/web/20030429184007id_/http://www.dzwww.com/qilushaonian/qilushaonianyiban/default.htm,known_source|electronic_resource_hint|html_page,RRJZ3Q42RB7B5SPQHXLW6ANJJYL6I3BW
70,source_known_content_verification_required,qlsnreadship.wordpress.com,20210306233947,text/html,https://qlsnreadship.wordpress.com/2019/07/02/%e5%b0%8f%e8%af%bb%e8%80%85%e8%ae%bf%e8%b0%88%e8%ae%a1%e5%88%92/,https://web.archive.org/web/20210306233947id_/https://qlsnreadship.wordpress.com/2019/07/02/%e5%b0%8f%e8%af%bb%e8%80%85%e8%ae%bf%e8%b0%88%e8%ae%a1%e5%88%92/,known_source|date_in_url|html_page,VVNRL2OXS4WW7UBRMOYAALTECWFGUBU4
50,source_known_content_verification_required,qlsnreadship.wordpress.com,20210119161923,text/plain,https://qlsnreadship.wordpress.com/robots.txt,https://web.archive.org/web/20210119161923id_/https://qlsnreadship.wordpress.com/robots.txt,known_source,JK6X44ORCP5BKPI3P3YCBU77INHBTUWE
