parent_original,parent_archive_url,parent_content_year,parent_issue_numbers,kind,media_original,archived_media_url,archived_media_digest
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/pjx.jpg,https://web.archive.org/web/20041015211033id_/http://www.qlsn.com/images/pjx.jpg,QZTMPN6PEL4B4236NMIVKDPSBYZ6X3RS
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/prj.jpg,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/psc.jpg,https://web.archive.org/web/20041016025022id_/http://www.qlsn.com/images/psc.jpg,6O3EORLB7PHWYB3DKBGKL6IYESTOPBU7
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/psj.jpg,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/pys.jpg,https://web.archive.org/web/20041016080458id_/http://www.qlsn.com/images/pys.jpg,MWXWHQTAS3EEHEIGQORS5AWCNIMKS2UM
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/ra.gif,https://web.archive.org/web/20041016085800id_/http://www.qlsn.com/images/ra.gif,4BADJNONZSS76CA7NA7TNVRELJURCP2B
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/images/xlgzs.gif,https://web.archive.org/web/20050320070727id_/http://www.qlsn.com/images/xlgzs.gif,4AWCZY4PEORCD6ZSSMVUOWCYLIUEY57A
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/20121220162252281.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/20121221105040.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2012-12/43a895d3-00c0-4778-a6ba-d3ced65a6d0e.jpg,,
